Company,Campaign_Type,Target_Audience,Duration,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
Innovate Industries,Search,All Ages,45 days,0.09,17726.62,4.27,New York,English,179,6795,3,Foodies,2022-07-07
TechCorp,Influencer,All Ages,15 days,0.11,6554.2,2.3,Los Angeles,German,1262,19718,8,Fashionistas,2022-07-03
DataTech Solutions,Search,Women 35-44,60 days,0.13,16483.57,2.75,Chicago,Spanish,992,10334,5,Health & Wellness,2022-07-19
Innovate Industries,Social Media,Men 25-34,15 days,0.1,18919.05,4.89,New York,Mandarin,376,12058,8,Tech Enthusiasts,2022-07-30
Innovate Industries,Social Media,Men 18-24,15 days,0.07,6044.24,6.55,Miami,Spanish,1630,8527,6,Health & Wellness,2022-07-19
DataTech Solutions,Search,Men 25-34,30 days,0.08,13678.47,6.57,Miami,English,344,1433,7,Outdoor Adventurers,2022-07-24
NexGen Systems,Social Media,Men 25-34,15 days,0.08,5418.85,7.72,Las Vegas,English,1774,12471,7,Health & Wellness,2022-07-26
NexGen Systems,Influencer,Women 25-34,60 days,0.04,14129.89,5.71,San Francisco,German,837,2061,6,Fashionistas,2022-07-16
TechCorp,Email,Men 18-24,15 days,0.06,14572.19,5.66,Chicago,English,1482,9977,9,Tech Enthusiasts,2022-07-13
Alpha Innovations,Influencer,Men 25-34,15 days,0.06,5798.08,5.95,Washington,Spanish,1713,19942,2,Fashionistas,2022-07-07
Innovate Industries,Email,Men 25-34,30 days,0.08,9033.57,7.58,Las Vegas,German,1435,1535,7,Fashionistas,2022-07-08
Innovate Industries,Social Media,Men 25-34,15 days,0.08,19675.37,7.09,Seattle,Spanish,1992,11674,8,Foodies,2022-07-22
TechCorp,Display,Women 25-34,15 days,0.03,5287.91,7.34,Washington,Spanish,1268,6554,9,Health & Wellness,2022-07-30
Innovate Industries,Display,Women 35-44,30 days,0.11,12945.73,4.96,Las Vegas,French,912,17073,3,Health & Wellness,2022-07-08
TechCorp,Search,Women 25-34,30 days,0.06,9005.37,3.11,Chicago,German,1414,1369,4,Health & Wellness,2022-07-18
TechCorp,Email,Women 35-44,60 days,0.14,19011.44,5.25,Las Vegas,German,1874,12704,7,Fashionistas,2022-07-20
DataTech Solutions,Email,Women 35-44,30 days,0.13,16334.7,7.46,Boston,Spanish,326,6946,9,Fashionistas,2022-07-20
DataTech Solutions,Display,Women 35-44,15 days,0.14,17535.69,4.14,Chicago,Mandarin,265,11795,3,Tech Enthusiasts,2022-07-20
Alpha Innovations,Display,Men 18-24,60 days,0.05,8269.37,3.84,New York,Spanish,1405,15075,4,Fashionistas,2022-07-29
TechCorp,Influencer,Men 18-24,30 days,0.11,13404.17,6.47,New York,German,393,13725,7,Foodies,2022-07-06
DataTech Solutions,Email,Men 18-24,45 days,0.04,6911.16,5.81,Seattle,German,1407,9288,6,Outdoor Adventurers,2022-07-22
Alpha Innovations,Social Media,Women 25-34,30 days,0.14,7556.21,3.03,Chicago,French,1232,11039,10,Health & Wellness,2022-07-27
Alpha Innovations,Display,Women 25-34,45 days,0.04,18484.42,2.82,Chicago,German,1510,5394,2,Tech Enthusiasts,2022-07-22
TechCorp,Display,Men 18-24,15 days,0.09,7985.81,5.36,Boston,Spanish,1830,15129,10,Tech Enthusiasts,2022-07-07
DataTech Solutions,Influencer,All Ages,45 days,0.07,5431.93,2.4,Boston,French,1502,5062,1,Tech Enthusiasts,2022-07-06
Innovate Industries,Search,Women 35-44,15 days,0.09,10553.99,7.96,San Francisco,Spanish,1001,12142,2,Foodies,2022-07-25
NexGen Systems,Social Media,Women 35-44,15 days,0.03,18592.23,7.26,Washington,German,646,10903,6,Fashionistas,2022-07-13
NexGen Systems,Email,Women 25-34,45 days,0.14,17192.47,6.33,Chicago,Mandarin,1616,2560,8,Tech Enthusiasts,2022-07-25
Innovate Industries,Display,Men 25-34,45 days,0.13,10859.89,7.47,Seattle,English,1703,12555,6,Health & Wellness,2022-07-03
DataTech Solutions,Email,Women 25-34,15 days,0.04,7009.72,6.76,Las Vegas,Spanish,1290,7901,7,Outdoor Adventurers,2022-07-11
NexGen Systems,Social Media,Men 18-24,30 days,0.03,15822.64,6.59,Los Angeles,English,512,8579,7,Fashionistas,2022-07-21
NexGen Systems,Display,All Ages,15 days,0.07,19529.97,3.22,New York,Spanish,931,6244,2,Tech Enthusiasts,2022-07-06
Alpha Innovations,Email,Women 25-34,45 days,0.15,6137.96,7.15,Los Angeles,French,400,3338,10,Tech Enthusiasts,2022-07-02
TechCorp,Social Media,Women 35-44,30 days,0.14,9080.46,3.78,Las Vegas,Spanish,1498,10603,5,Health & Wellness,2022-07-10
DataTech Solutions,Email,All Ages,60 days,0.13,18709.2,3.71,Nueva Orleans,Mandarin,458,3948,2,Outdoor Adventurers,2022-07-24
DataTech Solutions,Social Media,Women 35-44,45 days,0.06,18932.42,4.91,Los Angeles,French,782,9105,4,Foodies,2022-07-14
Innovate Industries,Email,Men 18-24,15 days,0.07,5892.4,4.18,New York,Mandarin,228,9055,10,Outdoor Adventurers,2022-07-07
Innovate Industries,Display,Men 25-34,45 days,0.06,12119.12,4.14,Boston,Spanish,946,5789,10,Outdoor Adventurers,2022-07-19
NexGen Systems,Email,Women 25-34,45 days,0.06,5796.48,6.08,Boston,German,1488,3091,1,Outdoor Adventurers,2022-07-12
NexGen Systems,Influencer,Women 35-44,30 days,0.11,17278.56,2.35,Las Vegas,English,1221,2160,2,Outdoor Adventurers,2022-07-20
Innovate Industries,Display,Women 35-44,45 days,0.15,10009.0,5.27,Las Vegas,English,680,5548,9,Tech Enthusiasts,2022-07-03
DataTech Solutions,Social Media,Women 25-34,15 days,0.11,12730.05,5.94,Chicago,French,646,13195,8,Tech Enthusiasts,2022-07-02
TechCorp,Social Media,Women 35-44,45 days,0.01,13544.57,6.6,New York,English,464,3875,9,Outdoor Adventurers,2022-07-15
Alpha Innovations,Social Media,All Ages,45 days,0.03,19806.38,5.64,Seattle,Mandarin,341,8981,2,Tech Enthusiasts,2022-07-30
TechCorp,Display,All Ages,45 days,0.04,11909.78,7.5,Los Angeles,German,1713,19702,5,Tech Enthusiasts,2022-07-29
NexGen Systems,Email,All Ages,45 days,0.13,10009.21,5.3,Washington,English,507,13333,5,Outdoor Adventurers,2022-07-14
DataTech Solutions,Search,Men 18-24,30 days,0.13,16745.19,4.86,Boston,French,1320,14220,10,Health & Wellness,2022-07-18
Alpha Innovations,Display,Men 18-24,45 days,0.1,11380.46,6.26,Los Angeles,French,578,11687,8,Tech Enthusiasts,2022-07-21
TechCorp,Influencer,All Ages,30 days,0.14,5989.31,6.0,Miami,Mandarin,1492,18968,1,Foodies,2022-07-25
NexGen Systems,Influencer,Men 18-24,45 days,0.07,6023.07,7.74,Chicago,German,346,13561,5,Fashionistas,2022-07-03
DataTech Solutions,Social Media,Women 35-44,60 days,0.1,5493.98,5.94,Miami,German,1891,5415,4,Foodies,2022-07-20
TechCorp,Social Media,All Ages,15 days,0.13,13133.1,5.36,Chicago,Mandarin,502,7874,5,Outdoor Adventurers,2022-07-21
Innovate Industries,Search,All Ages,15 days,0.02,8143.33,3.47,Miami,Mandarin,354,4308,9,Health & Wellness,2022-07-11
Innovate Industries,Email,Women 25-34,60 days,0.05,6143.88,4.4,Chicago,German,1736,9921,5,Foodies,2022-07-10
DataTech Solutions,Display,Men 18-24,30 days,0.02,7888.09,2.08,San Francisco,French,1175,17367,3,Outdoor Adventurers,2022-07-28
Alpha Innovations,Influencer,Women 35-44,30 days,0.02,18762.42,4.34,Chicago,German,358,8613,4,Outdoor Adventurers,2022-07-17
Alpha Innovations,Social Media,Women 35-44,45 days,0.02,7900.7,4.28,Nueva Orleans,French,1507,17077,3,Foodies,2022-07-22
Innovate Industries,Display,Men 25-34,30 days,0.13,6421.64,5.68,Miami,Spanish,423,12335,3,Health & Wellness,2022-07-10
TechCorp,Social Media,Men 25-34,60 days,0.13,18763.01,7.65,Seattle,English,999,5629,4,Outdoor Adventurers,2022-07-18
Alpha Innovations,Display,Women 35-44,60 days,0.08,12974.11,6.19,Boston,Spanish,1887,4601,3,Tech Enthusiasts,2022-07-29
NexGen Systems,Email,Men 18-24,45 days,0.07,18789.68,7.5,Chicago,French,1770,4985,1,Fashionistas,2022-07-25
TechCorp,Influencer,Men 18-24,30 days,0.09,19082.0,5.35,San Francisco,German,1735,16050,6,Foodies,2022-07-30
Innovate Industries,Email,Men 25-34,45 days,0.13,18320.74,2.23,New York,French,1519,4607,9,Outdoor Adventurers,2022-07-16
DataTech Solutions,Social Media,All Ages,15 days,0.09,6257.29,6.64,Las Vegas,Spanish,945,5927,2,Health & Wellness,2022-07-30
Alpha Innovations,Display,Women 35-44,30 days,0.08,18955.25,3.86,San Francisco,English,1644,10336,6,Fashionistas,2022-07-16
NexGen Systems,Influencer,Men 18-24,15 days,0.02,13749.31,7.54,Los Angeles,French,1971,14437,8,Tech Enthusiasts,2022-07-12
Alpha Innovations,Display,Men 18-24,15 days,0.14,19418.69,7.38,Washington,French,826,8792,7,Outdoor Adventurers,2022-07-09
Innovate Industries,Social Media,All Ages,15 days,0.08,15385.12,4.37,Los Angeles,Spanish,1692,10207,6,Tech Enthusiasts,2022-07-01
NexGen Systems,Display,Men 25-34,15 days,0.01,9802.74,4.97,Chicago,Mandarin,613,17876,7,Outdoor Adventurers,2022-07-28
Innovate Industries,Display,Men 25-34,45 days,0.15,10997.37,5.21,Los Angeles,English,131,5876,4,Outdoor Adventurers,2022-07-03
NexGen Systems,Influencer,Women 25-34,15 days,0.1,18368.37,4.07,Miami,German,333,3511,2,Fashionistas,2022-07-16
DataTech Solutions,Email,Women 25-34,30 days,0.02,13924.4,2.81,Washington,Mandarin,1963,8831,1,Health & Wellness,2022-07-06
Innovate Industries,Display,All Ages,30 days,0.12,18282.49,2.94,Nueva Orleans,Mandarin,975,9564,9,Fashionistas,2022-07-07
TechCorp,Social Media,Women 35-44,15 days,0.08,12528.45,7.39,Los Angeles,French,442,3745,7,Tech Enthusiasts,2022-07-27
NexGen Systems,Social Media,All Ages,60 days,0.03,16117.1,3.06,Chicago,German,919,8233,10,Tech Enthusiasts,2022-07-15
Innovate Industries,Influencer,Men 18-24,45 days,0.06,19277.88,7.87,Nueva Orleans,German,1423,17951,10,Health & Wellness,2022-07-09
TechCorp,Search,Men 18-24,45 days,0.11,16342.34,3.18,New York,German,1173,15671,9,Outdoor Adventurers,2022-07-03
Innovate Industries,Social Media,Women 35-44,30 days,0.02,6078.36,2.88,Miami,English,1973,19625,7,Outdoor Adventurers,2022-07-09
NexGen Systems,Influencer,Women 25-34,15 days,0.04,15091.54,7.01,Las Vegas,French,1437,9594,8,Fashionistas,2022-07-03
Alpha Innovations,Display,Men 18-24,60 days,0.02,9303.03,3.61,San Francisco,Mandarin,1259,16791,6,Foodies,2022-07-19
TechCorp,Influencer,Women 35-44,30 days,0.01,7807.98,4.07,Washington,French,162,15700,6,Fashionistas,2022-07-29
DataTech Solutions,Display,Women 35-44,15 days,0.12,8021.92,2.62,Chicago,French,1549,7756,3,Tech Enthusiasts,2022-07-14
DataTech Solutions,Search,All Ages,30 days,0.14,9254.98,6.91,San Francisco,French,826,13341,5,Health & Wellness,2022-07-16
TechCorp,Email,Women 35-44,30 days,0.13,13326.89,2.63,Boston,Mandarin,485,10867,10,Outdoor Adventurers,2022-07-04
Alpha Innovations,Influencer,Women 25-34,15 days,0.12,10160.99,7.76,Nueva Orleans,Mandarin,1757,15696,4,Outdoor Adventurers,2022-07-08
TechCorp,Display,All Ages,45 days,0.06,13142.76,5.53,Los Angeles,Spanish,618,9231,7,Fashionistas,2022-07-09
TechCorp,Email,Men 18-24,30 days,0.08,11220.33,3.49,Nueva Orleans,German,1523,2526,1,Fashionistas,2022-07-24
Alpha Innovations,Email,Women 35-44,15 days,0.07,10523.87,2.83,Los Angeles,Mandarin,1791,4418,9,Foodies,2022-07-27
Alpha Innovations,Email,Women 25-34,45 days,0.12,9296.27,5.13,Los Angeles,Spanish,484,3418,10,Outdoor Adventurers,2022-07-17
Innovate Industries,Social Media,Men 25-34,45 days,0.07,5679.35,2.68,Nueva Orleans,German,1633,19711,1,Fashionistas,2022-07-24
Alpha Innovations,Influencer,Women 25-34,60 days,0.09,19421.42,5.91,San Francisco,English,1914,4742,9,Foodies,2022-07-09
Alpha Innovations,Search,Women 35-44,15 days,0.07,5776.08,7.43,Nueva Orleans,English,1299,1099,10,Outdoor Adventurers,2022-07-19
TechCorp,Email,Women 35-44,60 days,0.15,12423.04,3.07,Las Vegas,Mandarin,845,12137,1,Fashionistas,2022-07-22
Alpha Innovations,Display,Women 35-44,15 days,0.06,10709.98,2.02,Seattle,Mandarin,1404,1344,6,Foodies,2022-07-08
Alpha Innovations,Email,Women 35-44,30 days,0.09,19955.57,6.08,Washington,German,1382,4717,2,Health & Wellness,2022-07-28
Innovate Industries,Search,Men 18-24,15 days,0.09,19740.29,7.62,Nueva Orleans,German,328,16202,9,Outdoor Adventurers,2022-07-05
Innovate Industries,Email,Women 35-44,30 days,0.01,11464.9,4.23,Nueva Orleans,French,1171,1572,2,Tech Enthusiasts,2022-07-09
TechCorp,Search,Women 25-34,30 days,0.02,10985.69,6.52,San Francisco,Mandarin,1540,11884,5,Tech Enthusiasts,2022-07-24
TechCorp,Search,Men 25-34,15 days,0.06,11904.76,7.07,Washington,French,1460,6253,4,Tech Enthusiasts,2022-07-13
DataTech Solutions,Social Media,Women 35-44,60 days,0.04,14950.16,5.07,Nueva Orleans,Mandarin,697,5646,4,Foodies,2022-07-01
Alpha Innovations,Search,Men 18-24,60 days,0.01,14018.08,7.41,San Francisco,French,670,13647,5,Health & Wellness,2022-07-13
DataTech Solutions,Search,Men 25-34,45 days,0.03,5380.46,5.82,Nueva Orleans,German,266,18108,3,Health & Wellness,2022-07-05
Alpha Innovations,Search,Men 25-34,45 days,0.12,19100.07,7.63,Boston,English,642,18561,2,Foodies,2022-07-15
Alpha Innovations,Email,Men 25-34,60 days,0.07,11485.36,5.9,San Francisco,German,173,11398,6,Foodies,2022-07-24
DataTech Solutions,Social Media,All Ages,60 days,0.1,14390.2,3.77,Seattle,English,541,14948,10,Health & Wellness,2022-07-19
Alpha Innovations,Influencer,Women 25-34,30 days,0.07,8127.14,7.05,Boston,English,503,1380,7,Fashionistas,2022-07-16
Innovate Industries,Email,Women 35-44,45 days,0.06,9565.11,4.67,Seattle,German,775,18720,2,Foodies,2022-07-29
Alpha Innovations,Influencer,Women 35-44,30 days,0.07,16288.12,3.64,Las Vegas,Spanish,288,2634,1,Fashionistas,2022-07-17
NexGen Systems,Influencer,Men 18-24,60 days,0.01,12651.39,5.36,Miami,English,1590,15686,9,Fashionistas,2022-07-19
NexGen Systems,Email,Women 25-34,15 days,0.04,15484.85,2.1,San Francisco,French,1458,1193,6,Health & Wellness,2022-07-04
NexGen Systems,Display,All Ages,45 days,0.06,13063.72,7.95,Nueva Orleans,Spanish,1400,7054,8,Foodies,2022-07-05
TechCorp,Email,Men 25-34,30 days,0.04,11431.5,4.63,Boston,German,1279,17234,8,Tech Enthusiasts,2022-07-16
Alpha Innovations,Influencer,Women 35-44,30 days,0.13,14741.35,3.12,Nueva Orleans,Mandarin,1203,14707,8,Fashionistas,2022-07-30
Innovate Industries,Email,Men 25-34,45 days,0.15,10901.6,7.08,Seattle,English,326,16497,8,Fashionistas,2022-07-10
TechCorp,Influencer,All Ages,60 days,0.08,10363.62,6.83,Miami,Spanish,1715,15546,9,Foodies,2022-07-12
Alpha Innovations,Social Media,All Ages,45 days,0.13,12152.77,3.48,Seattle,English,293,17348,3,Health & Wellness,2022-07-17
NexGen Systems,Social Media,All Ages,45 days,0.03,17617.89,5.68,Las Vegas,Spanish,664,18993,3,Outdoor Adventurers,2022-07-19
NexGen Systems,Search,Men 18-24,60 days,0.15,17211.09,3.5,Seattle,English,1226,5045,9,Health & Wellness,2022-07-30
DataTech Solutions,Social Media,Men 25-34,60 days,0.03,7283.81,6.36,Nueva Orleans,English,1096,11391,4,Tech Enthusiasts,2022-07-16
NexGen Systems,Influencer,Men 18-24,60 days,0.03,19128.66,7.17,Nueva Orleans,German,1108,15798,10,Health & Wellness,2022-07-20
Alpha Innovations,Email,Women 25-34,45 days,0.13,18119.35,4.8,Boston,French,218,15460,9,Health & Wellness,2022-07-27
NexGen Systems,Email,Men 25-34,15 days,0.14,16187.47,6.54,New York,Spanish,992,18644,1,Tech Enthusiasts,2022-07-22
NexGen Systems,Social Media,All Ages,60 days,0.01,16524.81,3.76,Los Angeles,German,1849,13333,5,Foodies,2022-07-11
Alpha Innovations,Email,All Ages,45 days,0.02,17368.89,5.38,Seattle,French,1072,17340,10,Outdoor Adventurers,2022-07-29
DataTech Solutions,Influencer,All Ages,30 days,0.14,14207.65,2.83,Los Angeles,English,417,13637,7,Tech Enthusiasts,2022-07-05
Innovate Industries,Social Media,All Ages,60 days,0.11,8646.26,2.02,San Francisco,French,1871,5036,3,Foodies,2022-07-20
Innovate Industries,Search,Men 18-24,15 days,0.01,10156.49,3.34,Washington,English,451,18481,5,Health & Wellness,2022-07-12
Innovate Industries,Search,Women 35-44,45 days,0.08,8285.69,5.9,Chicago,French,1696,7363,3,Health & Wellness,2022-07-09
TechCorp,Display,Men 18-24,15 days,0.05,16591.41,6.75,Boston,Spanish,805,1405,9,Foodies,2022-07-25
TechCorp,Social Media,Men 18-24,15 days,0.08,14387.54,2.73,Seattle,German,1865,13083,6,Foodies,2022-07-28
DataTech Solutions,Email,Men 25-34,60 days,0.04,13499.64,4.38,San Francisco,Spanish,1735,18617,6,Outdoor Adventurers,2022-07-26
DataTech Solutions,Search,All Ages,60 days,0.14,15734.29,6.2,Miami,Spanish,1426,19037,5,Tech Enthusiasts,2022-07-03
Alpha Innovations,Influencer,Women 25-34,30 days,0.1,5144.53,5.33,Nueva Orleans,German,1446,13569,9,Foodies,2022-07-20
DataTech Solutions,Social Media,Men 18-24,15 days,0.05,7761.48,2.62,Nueva Orleans,Spanish,1025,4282,3,Foodies,2022-07-11
DataTech Solutions,Search,All Ages,45 days,0.13,19179.94,2.87,San Francisco,Spanish,1779,9726,1,Health & Wellness,2022-07-30
Innovate Industries,Social Media,Women 25-34,45 days,0.1,10284.15,4.94,Boston,German,1605,6277,3,Foodies,2022-07-01
TechCorp,Search,Men 18-24,15 days,0.02,14132.17,2.59,Las Vegas,English,1824,4610,2,Foodies,2022-07-21
Alpha Innovations,Influencer,Men 25-34,45 days,0.12,12011.02,4.52,Los Angeles,English,1139,10747,6,Health & Wellness,2022-07-27
Alpha Innovations,Influencer,Men 25-34,60 days,0.06,19806.15,3.53,Miami,English,278,2578,8,Health & Wellness,2022-07-03
NexGen Systems,Email,Women 35-44,60 days,0.14,11133.48,4.23,Washington,French,507,15688,5,Outdoor Adventurers,2022-07-20
DataTech Solutions,Display,Women 35-44,15 days,0.1,5337.68,5.82,San Francisco,Spanish,1173,16460,10,Foodies,2022-07-16
NexGen Systems,Influencer,Men 25-34,15 days,0.03,6552.07,2.76,San Francisco,Mandarin,1728,3995,8,Foodies,2022-07-16
Alpha Innovations,Social Media,Men 18-24,30 days,0.07,15305.12,2.11,Nueva Orleans,English,687,11188,8,Outdoor Adventurers,2022-07-15
DataTech Solutions,Email,All Ages,30 days,0.04,5711.22,5.55,Nueva Orleans,French,103,8043,8,Fashionistas,2022-07-22
Innovate Industries,Email,Women 25-34,60 days,0.09,13642.81,3.12,Miami,German,1730,15275,9,Fashionistas,2022-07-06
TechCorp,Display,Men 25-34,15 days,0.06,11966.63,5.67,Seattle,Mandarin,1900,11213,9,Foodies,2022-07-25
DataTech Solutions,Social Media,Men 25-34,15 days,0.12,7516.19,3.7,Los Angeles,Spanish,1902,16911,4,Foodies,2022-07-23
DataTech Solutions,Search,Women 25-34,60 days,0.07,18129.86,3.72,Los Angeles,English,1780,2790,8,Fashionistas,2022-07-26
Alpha Innovations,Influencer,Women 35-44,15 days,0.14,15303.55,2.56,Boston,Mandarin,1396,1811,5,Health & Wellness,2022-07-09
NexGen Systems,Display,Women 25-34,15 days,0.1,5887.68,6.95,Seattle,Spanish,126,18233,2,Foodies,2022-07-03
Alpha Innovations,Email,Women 35-44,60 days,0.05,7030.55,7.08,Boston,German,170,18850,5,Health & Wellness,2022-07-22
NexGen Systems,Search,Women 35-44,15 days,0.12,17939.42,3.47,Miami,German,1582,8672,9,Foodies,2022-07-28
TechCorp,Social Media,Women 25-34,30 days,0.01,17439.88,3.78,Nueva Orleans,Mandarin,852,4928,1,Fashionistas,2022-07-09
TechCorp,Search,Women 35-44,15 days,0.09,8125.87,5.62,Boston,Spanish,893,1977,5,Foodies,2022-07-25
Alpha Innovations,Influencer,Men 25-34,30 days,0.09,7742.64,4.99,Nueva Orleans,English,735,9814,7,Foodies,2022-07-14
DataTech Solutions,Search,Women 35-44,45 days,0.12,8332.75,6.58,Miami,French,964,2946,8,Health & Wellness,2022-07-13
Alpha Innovations,Influencer,Women 25-34,60 days,0.06,7947.15,7.69,San Francisco,German,622,2661,10,Tech Enthusiasts,2022-07-03
TechCorp,Display,Women 35-44,30 days,0.14,10394.26,4.87,Miami,French,939,6998,4,Tech Enthusiasts,2022-07-19
Alpha Innovations,Influencer,Men 25-34,15 days,0.15,18153.18,5.48,Boston,French,752,18053,5,Outdoor Adventurers,2022-07-13
TechCorp,Search,All Ages,45 days,0.05,19991.36,7.95,Miami,English,1913,15790,3,Tech Enthusiasts,2022-07-05
NexGen Systems,Influencer,Men 25-34,45 days,0.03,7901.54,6.69,Seattle,French,1857,9616,4,Health & Wellness,2022-07-17
DataTech Solutions,Social Media,Women 35-44,15 days,0.06,17871.91,2.49,New York,German,1693,5486,2,Tech Enthusiasts,2022-07-29
TechCorp,Influencer,All Ages,15 days,0.03,11145.56,6.51,Los Angeles,Spanish,420,11913,2,Foodies,2022-07-11
Alpha Innovations,Display,Men 25-34,60 days,0.09,5416.49,3.05,Nueva Orleans,English,113,9022,3,Tech Enthusiasts,2022-07-13
Alpha Innovations,Search,Men 25-34,45 days,0.15,6713.69,4.69,Los Angeles,Mandarin,1424,11633,6,Outdoor Adventurers,2022-07-14
Alpha Innovations,Social Media,Women 25-34,30 days,0.13,9648.63,2.05,Miami,Spanish,1351,2134,8,Tech Enthusiasts,2022-07-21
DataTech Solutions,Email,Men 25-34,15 days,0.13,18575.37,5.4,New York,Spanish,818,7769,1,Health & Wellness,2022-07-29
Alpha Innovations,Display,Women 25-34,15 days,0.04,14837.68,7.19,Washington,Spanish,692,6054,2,Foodies,2022-07-14
Innovate Industries,Social Media,Women 25-34,30 days,0.15,10095.23,2.24,Miami,French,272,1205,10,Fashionistas,2022-07-03
NexGen Systems,Influencer,Men 25-34,60 days,0.08,6818.85,4.26,Miami,Spanish,642,9562,10,Health & Wellness,2022-07-26
DataTech Solutions,Display,Women 25-34,45 days,0.12,7003.67,4.87,Seattle,Spanish,1025,3362,6,Outdoor Adventurers,2022-07-05
TechCorp,Search,All Ages,15 days,0.09,16240.48,5.18,Nueva Orleans,Mandarin,739,17621,3,Health & Wellness,2022-07-22
Alpha Innovations,Display,Women 35-44,15 days,0.06,6810.77,2.23,Boston,Mandarin,1726,13402,6,Outdoor Adventurers,2022-07-28
NexGen Systems,Influencer,All Ages,30 days,0.13,17967.42,2.97,Washington,German,988,8567,6,Tech Enthusiasts,2022-07-18
DataTech Solutions,Social Media,All Ages,15 days,0.15,11072.89,2.65,Las Vegas,Spanish,447,1156,4,Outdoor Adventurers,2022-07-26
NexGen Systems,Social Media,Women 25-34,15 days,0.06,7898.12,6.08,San Francisco,Spanish,691,9110,6,Health & Wellness,2022-07-27
DataTech Solutions,Social Media,Women 35-44,45 days,0.11,16515.71,6.39,Chicago,Mandarin,427,16755,6,Outdoor Adventurers,2022-07-29
TechCorp,Email,All Ages,30 days,0.08,8756.73,5.85,Nueva Orleans,Mandarin,1890,13528,2,Tech Enthusiasts,2022-07-06
Alpha Innovations,Display,Women 35-44,15 days,0.11,9534.23,6.24,Boston,English,1648,6388,5,Tech Enthusiasts,2022-07-30
NexGen Systems,Social Media,Men 25-34,60 days,0.08,7590.69,7.89,San Francisco,Mandarin,953,18781,4,Tech Enthusiasts,2022-07-29
TechCorp,Email,All Ages,60 days,0.01,11549.66,5.15,San Francisco,German,795,2400,1,Fashionistas,2022-07-12
TechCorp,Influencer,Men 25-34,45 days,0.09,17719.11,3.04,Miami,German,872,18270,7,Fashionistas,2022-07-01
Alpha Innovations,Display,Men 18-24,60 days,0.13,10866.1,3.8,Washington,French,1261,14540,3,Outdoor Adventurers,2022-07-27
Innovate Industries,Display,All Ages,30 days,0.08,15710.18,4.22,Boston,Spanish,1568,18709,1,Outdoor Adventurers,2022-07-07
NexGen Systems,Social Media,Women 25-34,15 days,0.1,19913.91,5.49,New York,Spanish,501,15143,7,Foodies,2022-07-28
Innovate Industries,Display,Women 35-44,15 days,0.05,6521.59,3.04,Miami,English,111,3735,10,Health & Wellness,2022-07-30
Innovate Industries,Email,All Ages,45 days,0.09,5659.67,3.52,Las Vegas,Mandarin,1921,10756,10,Outdoor Adventurers,2022-07-27
Innovate Industries,Influencer,Women 25-34,60 days,0.04,11586.95,5.37,Washington,Mandarin,802,10474,4,Tech Enthusiasts,2022-07-15
DataTech Solutions,Influencer,Men 18-24,15 days,0.08,10708.04,7.11,Nueva Orleans,Mandarin,1326,18958,5,Foodies,2022-07-19
Alpha Innovations,Search,All Ages,60 days,0.05,10384.38,6.26,Boston,French,1703,2638,5,Foodies,2022-07-26
TechCorp,Search,Women 35-44,45 days,0.05,6753.83,5.44,Washington,German,1314,10489,6,Foodies,2022-07-21
DataTech Solutions,Display,All Ages,30 days,0.08,15371.14,2.08,Nueva Orleans,English,1557,2381,8,Foodies,2022-07-05
TechCorp,Social Media,Men 18-24,30 days,0.12,18377.88,3.09,Washington,German,266,11395,6,Fashionistas,2022-07-03
Innovate Industries,Social Media,Women 25-34,45 days,0.11,8958.74,4.32,San Francisco,Mandarin,713,1250,6,Fashionistas,2022-07-28
DataTech Solutions,Search,Men 18-24,60 days,0.05,6379.27,7.74,Boston,French,1324,2829,4,Tech Enthusiasts,2022-07-16
NexGen Systems,Email,Men 18-24,15 days,0.13,15492.89,6.47,Chicago,French,1703,2896,5,Foodies,2022-07-14
DataTech Solutions,Influencer,All Ages,15 days,0.13,6411.56,2.28,New York,French,260,4386,9,Foodies,2022-07-03
NexGen Systems,Social Media,Women 25-34,15 days,0.02,5256.57,5.08,Nueva Orleans,Spanish,771,19356,9,Outdoor Adventurers,2022-07-03
DataTech Solutions,Search,Women 35-44,15 days,0.11,19868.71,4.98,Los Angeles,Mandarin,1003,12911,4,Outdoor Adventurers,2022-07-19
TechCorp,Email,Men 25-34,60 days,0.05,14720.3,4.1,Boston,German,1778,11746,8,Outdoor Adventurers,2022-07-02
DataTech Solutions,Social Media,Women 25-34,45 days,0.08,12345.36,6.7,New York,Mandarin,1244,2530,4,Tech Enthusiasts,2022-07-01
Alpha Innovations,Email,Women 35-44,45 days,0.13,5493.81,7.53,Los Angeles,Mandarin,1125,18883,1,Tech Enthusiasts,2022-07-10
NexGen Systems,Social Media,Men 25-34,30 days,0.05,5160.36,5.93,Nueva Orleans,English,831,1705,9,Outdoor Adventurers,2022-07-18
TechCorp,Social Media,Women 35-44,30 days,0.06,11441.27,3.17,Washington,German,1695,14326,3,Health & Wellness,2022-07-21
NexGen Systems,Social Media,All Ages,30 days,0.08,17588.18,7.03,Miami,German,405,15127,7,Foodies,2022-07-09
DataTech Solutions,Influencer,Women 25-34,30 days,0.04,19957.06,6.21,Las Vegas,Mandarin,1005,10591,9,Outdoor Adventurers,2022-07-09
